sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
454564.307.3.3,,,Chem A,"09,10,11,12",454564,307,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454565.206.2.2,,,Chem B,"09,10,11,12",454565,206,scheduled,,79907001,2020.001.QT.Q2.2.2,,,
454565.407.4.4,,,Chem B,"09,10,11,12",454565,407,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454569.EV4.4.4,,,Chem B,"09,10,11,12",454569,EV4,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454569.EVS.2.2,,,Chem B,"09,10,11,12",454569,EVS,scheduled,,79907001,2020.001.QT.Q2.2.2,,,
454570.EV3.3.3,,,Physics A,"09,10,11,12",454570,EV3,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454572.304.3.3,,,Env Systems A,12,454572,304,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454572.306.3.3,,,Env Systems A,12,454572,306,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454574.404.4.4,,,Env Systems B,12,454574,404,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454574.406.4.4,,,Env Systems B,12,454574,406,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454583.EV4.4.4,,,World Hist B,"09,10,11,12",454583,EV4,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454584.EV3.3.3,,,US History A,"10,11,12",454584,EV3,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454585.EV4.4.4,,,US History B,"10,11,12",454585,EV4,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454585.EVS.2.2,,,US History B,"10,11,12",454585,EVS,scheduled,,79907001,2020.001.QT.Q2.2.2,,,
454586.104.1.1,,,World Geog A,"09,10,11,12",454586,104,scheduled,,79907001,2020.001.QT.Q1.1.1,,,
454587.204.2.2,,,World Geog B,"09,10,11,12",454587,204,scheduled,,79907001,2020.001.QT.Q2.2.2,,,
454588.402.4.4,,,US Govt,"09,10,11,12",454588,402,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454588.L07.1.1,,,US Govt,"09,10,11,12",454588,L07,scheduled,,79907001,2020.001.QT.Q1.1.1,,,
454589.LC7.3.3,,,World Hist A,"09,10,11,12",454589,LC7,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454590.LC7.4.4,,,World Hist B,"09,10,11,12",454590,LC7,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454591.103.3.4,,,US Hist,"09,10,11,12",454591,103,scheduled,,79907001,2020.001.YR.YR.3.4,,,
454591.106.1.2,,,US Hist,"09,10,11,12",454591,106,scheduled,,79907001,2020.001.YR.YR.1.2,,,
